Date,day,month,week
2022-05-21,420.36,,
2022-05-22,420.77,,421.45
2022-05-23,421.67,,421.45
2022-05-24,421.22,,421.45
2022-05-25,421.51,,421.45
2022-05-26,421.32,,421.45
2022-05-27,421.93,,421.45
2022-05-28,421.7,,421.45
2022-05-29,421.69,,421.58
2022-05-30,421.52,,421.58
2022-05-31,421.78,,421.58
2022-06-01,421.88,420.94,421.58
2022-06-02,421.58,420.94,421.58
2022-06-03,421.52,420.94,421.58
2022-06-04,421.09,420.94,421.58
2022-06-05,,420.94,421.26
2022-06-06,421.5,420.94,421.26
2022-06-07,421.37,420.94,421.26
2022-06-08,421.35,420.94,421.26
2022-06-09,421.29,420.94,421.26
2022-06-10,420.88,420.94,421.26
2022-06-11,421.14,420.94,421.26
2022-06-12,420.95,420.94,420.98
2022-06-13,421.05,420.94,420.98
2022-06-14,421.66,420.94,420.98
2022-06-15,420.53,420.94,420.98
2022-06-16,420.68,420.94,420.98
2022-06-17,,420.94,420.98
2022-06-18,421.02,420.94,420.98
2022-06-19,421.11,420.94,420.82
2022-06-20,420.59,420.94,420.82
2022-06-21,420.87,420.94,420.82
2022-06-22,420.68,420.94,420.82
2022-06-23,420.82,420.94,420.82
2022-06-24,420.76,420.94,420.82
2022-06-25,420.94,420.94,420.82
2022-06-26,420.05,420.94,420.26
2022-06-27,420.1,420.94,420.26
2022-06-28,420.51,420.94,420.26
2022-06-29,419.65,420.94,420.26
2022-06-30,420.47,420.94,420.26
2022-07-01,420.53,418.85,420.26
2022-07-02,420.51,418.85,420.26
2022-07-03,420.17,418.85,419.69
2022-07-04,419.94,418.85,419.69
2022-07-05,420.05,418.85,419.69
2022-07-06,,418.85,419.69
2022-07-07,419.7,418.85,419.69
2022-07-08,419.12,418.85,419.69
2022-07-09,419.15,418.85,419.69
2022-07-10,419.31,418.85,419.03
2022-07-11,419.03,418.85,419.03
2022-07-12,,418.85,419.03
2022-07-13,419.27,418.85,419.03
2022-07-14,419.12,418.85,419.03
2022-07-15,419.21,418.85,419.03
2022-07-16,418.24,418.85,419.03
2022-07-17,418.77,418.85,418.38
2022-07-18,418.99,418.85,418.38
2022-07-19,418.02,418.85,418.38
2022-07-20,419.09,418.85,418.38
2022-07-21,,418.85,418.38
2022-07-22,417.05,418.85,418.38
2022-07-23,418.38,418.85,418.38
2022-07-24,,418.85,417.8
2022-07-25,418.62,418.85,417.8
2022-07-26,418.64,418.85,417.8
2022-07-27,418.33,418.85,417.8
2022-07-28,416.45,418.85,417.8
2022-07-29,417.78,418.85,417.8
2022-07-30,417.0,418.85,417.8
2022-07-31,418.51,418.85,418.15
2022-08-01,418.46,417.15,418.15
2022-08-02,418.41,417.15,418.15
2022-08-03,417.72,417.15,418.15
2022-08-04,418.19,417.15,418.15
2022-08-05,418.4,417.15,418.15
2022-08-06,417.34,417.15,418.15
2022-08-07,417.82,417.15,417.29
2022-08-08,,417.15,417.29
2022-08-09,417.27,417.15,417.29
2022-08-10,417.41,417.15,417.29
2022-08-11,417.2,417.15,417.29
2022-08-12,417.1,417.15,417.29
2022-08-13,416.93,417.15,417.29
2022-08-14,417.35,417.15,417.22
2022-08-15,417.57,417.15,417.22
2022-08-16,417.54,417.15,417.22
2022-08-17,,417.15,417.22
2022-08-18,417.0,417.15,417.22
2022-08-19,417.09,417.15,417.22
2022-08-20,416.76,417.15,417.22
2022-08-21,416.31,417.15,416.52
2022-08-22,,417.15,416.52
2022-08-23,416.81,417.15,416.52
2022-08-24,416.5,417.15,416.52
2022-08-25,416.8,417.15,416.52
2022-08-26,416.69,417.15,416.52
2022-08-27,416.02,417.15,416.52
2022-08-28,,417.15,416.5
2022-08-29,416.27,417.15,416.5
2022-08-30,416.23,417.15,416.5
2022-08-31,416.61,417.15,416.5
2022-09-01,416.8,415.91,416.5
2022-09-02,416.57,415.91,416.5
2022-09-03,,415.91,416.5
2022-09-04,416.64,415.91,416.29
2022-09-05,416.4,415.91,416.29
2022-09-06,416.19,415.91,416.29
2022-09-07,415.98,415.91,416.29
2022-09-08,416.16,415.91,416.29
2022-09-09,416.22,415.91,416.29
2022-09-10,416.41,415.91,416.29
2022-09-11,,415.91,416.0
2022-09-12,415.96,415.91,416.0
2022-09-13,416.13,415.91,416.0
2022-09-14,416.08,415.91,416.0
2022-09-15,416.25,415.91,416.0
2022-09-16,416.1,415.91,416.0
2022-09-17,415.5,415.91,416.0
2022-09-18,415.95,415.91,415.52
2022-09-19,416.15,415.91,415.52
2022-09-20,416.27,415.91,415.52
2022-09-21,416.26,415.91,415.52
2022-09-22,414.69,415.91,415.52
2022-09-23,414.76,415.91,415.52
2022-09-24,414.56,415.91,415.52
2022-09-25,415.65,415.91,415.53
2022-09-26,415.31,415.91,415.53
2022-09-27,415.18,415.91,415.53
2022-09-28,415.33,415.91,415.53
2022-09-29,415.74,415.91,415.53
